iter	Passed	Remaining
675	13697	47090
676	13718	47071
677	13738	47049
678	13757	47026
679	13778	47010
680	13796	46981
681	13817	46962
682	13836	46940
683	13856	46918
684	13876	46896
685	13895	46872
686	13913	46844
687	13931	46815
688	13950	46792
689	13970	46770
690	13991	46752
691	14011	46730
692	14030	46708
693	14051	46689
694	14070	46665
695	14090	46643
696	14109	46621
697	14129	46598
698	14149	46576
699	14169	46555
700	14189	46537
701	14208	46512
702	14227	46487
703	14246	46464
704	14265	46439
705	14284	46414
706	14303	46390
707	14321	46363
708	14340	46338
709	14356	46304
710	14375	46280
711	14395	46260
712	14413	46231
713	14434	46215
714	14460	46214
715	14486	46209
716	14511	46205
717	14537	46204
718	14555	46178
719	14576	46157
720	14594	46131
721	14614	46109
722	14633	46085
723	14653	46065
724	14673	46043
725	14694	46026
726	14714	46005
727	14733	45982
728	14752	45956
729	14771	45932
730	14790	45910
731	14810	45888
732	14830	45866
733	14849	45843
734	14869	45821
735	14888	45798
736	14908	45777
737	14928	45755
738	14947	45731
739	14967	45710
740	14986	45687
741	15006	45667
742	15026	45646
743	15046	45625
744	15066	45603
745	15086	45583
746	15108	45567
747	15128	45547
748	15150	45532
749	15172	45516
750	15197	45510
751	15219	45495
752	15239	45476
753	15259	45453
754	15279	45432
755	15297	45407
756	15316	45383
757	15334	45356
758	15353	45333
759	15373	45311
760	15394	45293
761	15411	45264
762	15430	45238
763	15450	45218
764	15469	45193
765	15488	45172
766	15509	45153
767	15529	45132
768	15549	45111
769	15568	45087
770	15586	45062
771	15608	45045
772	15631	45033
773	15651	45013
774	15672	44994
775	15693	44977
776	15713	44956
777	15733	44936
778	15752	44910
779	15772	44890
780	15793	44872
781	15813	44851
782	15832	44829
783	15853	44809
784	15874	44792
785	15893	44767
786	15913	44746
787	15931	44722
788	15952	44702
789	15972	44682
790	15993	44663
791	16012	44642
792	16033	44621
793	16052	44599
794	16070	44571
795	16088	44546
796	16106	44521
797	16125	44497
798	16145	44476
799	16161	44444
800	16181	44422
801	16200	44399
802	16220	44379
803	16240	44358
804	16261	44339
805	16279	44313
806	16297	44286
807	16318	44268
808	16338	44248
809	16357	44225
810	16376	44203
811	16396	44181
812	16417	44163
813	16437	44143
814	16458	44123
815	16478	44103
816	16498	44083
817	16517	44061
818	16536	44036
819	16556	44015
820	16576	43995
821	16596	43974
822	16616	43954
823	16636	43934
824	16656	43913
825	16675	43888
826	16694	43866
827	16714	43845
828	16733	43822
829	16753	43801
830	16773	43780
831	16791	43754
832	16814	43742
833	16834	43721
834	16854	43700
835	16873	43677
836	16891	43651
837	16910	43628
838	16930	43607
839	16950	43585
840	16970	43567
841	16993	43553
842	17015	43537
843	17037	43522
844	17057	43501
845	17075	43475
846	17098	43463
847	17120	43447
848	17142	43432
849	17163	43413
850	17184	43395
851	17205	43377
852	17225	43355
853	17245	43335
854	17263	43310
855	17283	43289
856	17303	43269
857	17325	43252
858	17343	43228
859	17363	43207
860	17383	43187
861	17403	43166
862	17421	43140
863	17441	43119
864	17459	43094
865	17478	43071
866	17498	43049
867	17518	43029
868	17537	43007
869	17556	42983
870	17576	42963
871	17596	42941
872	17616	42920
873	17636	42901
874	17656	42880
875	17675	42857
876	17695	42837
877	17716	42817
878	17736	42796
879	17755	42775
880	17774	42751
881	17792	42726
882	17811	42702
883	17831	42682
884	17849	42657
885	17868	42634
886	17887	42610
887	17906	42587
888	17925	42566
889	17944	42542
890	17964	42522
891	17983	42498
892	18001	42473
893	18020	42450
894	18040	42430
895	18059	42408
896	18078	42385
897	18097	42362
898	18116	42338
899	18135	42315
900	18155	42294
901	18174	42272
902	18194	42251
903	18214	42232
904	18234	42211
905	18254	42190
906	18274	42171
907	18295	42152
908	18318	42139
909	18340	42122
910	18361	42105
911	18384	42089
